P N time
32 120 0.662925
32 120 0.673318
32 120 0.677184
32 120 0.663381
32 120 0.661943

32 240 5.973506
32 240 5.984205
32 240 5.990331
32 240 5.994489
32 240 5.993161

48 120 0.650498
48 120 0.651856
48 120 0.650557
48 120 0.653864
48 120 0.657264

48 240 5.816406
48 240 5.815438
48 240 5.847428
48 240 5.865798
48 240 5.884235

64 120 0.650523
64 120 0.651523
64 120 0.659015
64 120 0.652088
64 120 0.660118

64 240 5.478437
64 240 5.495327
64 240 5.504269
64 240 5.512994
64 240 5.520801

96 120 0.654852
96 120 0.659129
96 120 0.659884
96 120 0.660576
96 120 0.659898

96 240 5.757361
96 240 5.888798
96 240 5.775903
96 240 5.830695
96 240 5.803889
